time,mA,pA,mB,pB
3.13,0.46516,0.55464,0.46516,0.55464
3.131,0.46522,0.55455,0.46522,0.55455
3.132,0.46529,0.55446,0.46529,0.55446
3.133,0.46536,0.55437,0.46536,0.55437
3.134,0.46542,0.55429,0.46542,0.55429
3.135,0.46549,0.5542,0.46549,0.5542
3.136,0.46556,0.55411,0.46556,0.55411
3.137,0.46562,0.55402,0.46562,0.55402
3.138,0.46569,0.55393,0.46569,0.55393
3.139,0.46575,0.55384,0.46575,0.55384
3.14,0.46582,0.55375,0.46582,0.55375
3.141,0.46588,0.55367,0.46588,0.55367
3.142,0.46595,0.55358,0.46595,0.55358
3.143,0.46602,0.55349,0.46602,0.55349
3.144,0.46608,0.5534,0.46608,0.5534
3.145,0.46615,0.55332,0.46615,0.55332
3.146,0.46621,0.55323,0.46621,0.55323
3.147,0.46628,0.55314,0.46628,0.55314
3.148,0.46634,0.55306,0.46634,0.55306
3.149,0.46641,0.55297,0.46641,0.55297
3.15,0.46647,0.55288,0.46647,0.55288
3.151,0.46653,0.5528,0.46653,0.5528
3.152,0.4666,0.55271,0.4666,0.55271
3.153,0.46666,0.55262,0.46666,0.55262
3.154,0.46673,0.55254,0.46673,0.55254
3.155,0.46679,0.55245,0.46679,0.55245
3.156,0.46685,0.55237,0.46685,0.55237
3.157,0.46692,0.55228,0.46692,0.55228
3.158,0.46698,0.5522,0.46698,0.5522
3.159,0.46704,0.55211,0.46704,0.55211
3.16,0.46711,0.55203,0.46711,0.55203
3.161,0.46717,0.55194,0.46717,0.55194
3.162,0.46723,0.55186,0.46723,0.55186
3.163,0.4673,0.55177,0.4673,0.55177
3.164,0.46736,0.55169,0.46736,0.55169
3.165,0.46742,0.55161,0.46742,0.55161
3.166,0.46748,0.55152,0.46748,0.55152
3.167,0.46755,0.55144,0.46755,0.55144
3.168,0.46761,0.55135,0.46761,0.55135
3.169,0.46767,0.55127,0.46767,0.55127
3.17,0.46773,0.55119,0.46773,0.55119
3.171,0.46779,0.5511,0.46779,0.5511
3.172,0.46786,0.55102,0.46786,0.55102
3.173,0.46792,0.55094,0.46792,0.55094
3.174,0.46798,0.55086,0.46798,0.55086
3.175,0.46804,0.55077,0.46804,0.55077
3.176,0.4681,0.55069,0.4681,0.55069
3.177,0.46816,0.55061,0.46816,0.55061
3.178,0.46822,0.55053,0.46822,0.55053
3.179,0.46828,0.55044,0.46828,0.55044
3.18,0.46834,0.55036,0.46834,0.55036
3.181,0.4684,0.55028,0.4684,0.55028
3.182,0.46846,0.5502,0.46846,0.5502
3.183,0.46852,0.55012,0.46852,0.55012
3.184,0.46859,0.55004,0.46859,0.55004
3.185,0.46865,0.54996,0.46865,0.54996
3.186,0.4687,0.54987,0.4687,0.54987
3.187,0.46876,0.54979,0.46876,0.54979
3.188,0.46882,0.54971,0.46882,0.54971
3.189,0.46888,0.54963,0.46888,0.54963
3.19,0.46894,0.54955,0.46894,0.54955
3.191,0.469,0.54947,0.469,0.54947
3.192,0.46906,0.54939,0.46906,0.54939
3.193,0.46912,0.54931,0.46912,0.54931
3.194,0.46918,0.54923,0.46918,0.54923
3.195,0.46924,0.54915,0.46924,0.54915
3.196,0.4693,0.54907,0.4693,0.54907
3.197,0.46936,0.54899,0.46936,0.54899
3.198,0.46941,0.54891,0.46941,0.54891
3.199,0.46947,0.54884,0.46947,0.54884
3.2,0.46953,0.54876,0.46953,0.54876
3.201,0.46959,0.54868,0.46959,0.54868
3.202,0.46965,0.5486,0.46965,0.5486
3.203,0.4697,0.54852,0.4697,0.54852
3.204,0.46976,0.54844,0.46976,0.54844
3.205,0.46982,0.54836,0.46982,0.54836
3.206,0.46988,0.54829,0.46988,0.54829
3.207,0.46993,0.54821,0.46993,0.54821
3.208,0.46999,0.54813,0.46999,0.54813
3.209,0.47005,0.54805,0.47005,0.54805
3.21,0.47011,0.54798,0.47011,0.54798
3.211,0.47016,0.5479,0.47016,0.5479
3.212,0.47022,0.54782,0.47022,0.54782
3.213,0.47028,0.54774,0.47028,0.54774
3.214,0.47033,0.54767,0.47033,0.54767
3.215,0.47039,0.54759,0.47039,0.54759
3.216,0.47045,0.54751,0.47045,0.54751
3.217,0.4705,0.54744,0.4705,0.54744
3.218,0.47056,0.54736,0.47056,0.54736
3.219,0.47061,0.54728,0.47061,0.54728
3.22,0.47067,0.54721,0.47067,0.54721
3.221,0.47073,0.54713,0.47073,0.54713
3.222,0.47078,0.54706,0.47078,0.54706
3.223,0.47084,0.54698,0.47084,0.54698
3.224,0.47089,0.54691,0.47089,0.54691
3.225,0.47095,0.54683,0.47095,0.54683
3.226,0.471,0.54675,0.471,0.54675
3.227,0.47106,0.54668,0.47106,0.54668
3.228,0.47111,0.5466,0.47111,0.5466
3.229,0.47117,0.54653,0.47117,0.54653
3.23,0.47122,0.54645,0.47122,0.54645
3.231,0.47128,0.54638,0.47128,0.54638
3.232,0.47133,0.54631,0.47133,0.54631
3.233,0.47139,0.54623,0.47139,0.54623
3.234,0.47144,0.54616,0.47144,0.54616
3.235,0.4715,0.54608,0.4715,0.54608
3.236,0.47155,0.54601,0.47155,0.54601
3.237,0.4716,0.54594,0.4716,0.54594
3.238,0.47166,0.54586,0.47166,0.54586
3.239,0.47171,0.54579,0.47171,0.54579
3.24,0.47176,0.54572,0.47176,0.54572
3.241,0.47182,0.54564,0.47182,0.54564
3.242,0.47187,0.54557,0.47187,0.54557
3.243,0.47192,0.5455,0.47192,0.5455
3.244,0.47198,0.54542,0.47198,0.54542
3.245,0.47203,0.54535,0.47203,0.54535
3.246,0.47208,0.54528,0.47208,0.54528
3.247,0.47214,0.5452,0.47214,0.5452
3.248,0.47219,0.54513,0.47219,0.54513
3.249,0.47224,0.54506,0.47224,0.54506
3.25,0.4723,0.54499,0.4723,0.54499
3.251,0.47235,0.54492,0.47235,0.54492
3.252,0.4724,0.54484,0.4724,0.54484
3.253,0.47245,0.54477,0.47245,0.54477
3.254,0.4725,0.5447,0.4725,0.5447
3.255,0.47256,0.54463,0.47256,0.54463
3.256,0.47261,0.54456,0.47261,0.54456
3.257,0.47266,0.54449,0.47266,0.54449
3.258,0.47271,0.54442,0.47271,0.54442
3.259,0.47276,0.54435,0.47276,0.54435
3.26,0.47282,0.54427,0.47282,0.54427
3.261,0.47287,0.5442,0.47287,0.5442
3.262,0.47292,0.54413,0.47292,0.54413
3.263,0.47297,0.54406,0.47297,0.54406
3.264,0.47302,0.54399,0.47302,0.54399
3.265,0.47307,0.54392,0.47307,0.54392
3.266,0.47312,0.54385,0.47312,0.54385
3.267,0.47317,0.54378,0.47317,0.54378
3.268,0.47322,0.54371,0.47322,0.54371
3.269,0.47327,0.54364,0.47327,0.54364
3.27,0.47333,0.54357,0.47333,0.54357
3.271,0.47338,0.5435,0.47338,0.5435
3.272,0.47343,0.54343,0.47343,0.54343
3.273,0.47348,0.54337,0.47348,0.54337
3.274,0.47353,0.5433,0.47353,0.5433
3.275,0.47358,0.54323,0.47358,0.54323
3.276,0.47363,0.54316,0.47363,0.54316
3.277,0.47368,0.54309,0.47368,0.54309
3.278,0.47373,0.54302,0.47373,0.54302
3.279,0.47378,0.54295,0.47378,0.54295
3.28,0.47382,0.54288,0.47382,0.54288
3.281,0.47387,0.54282,0.47387,0.54282
3.282,0.47392,0.54275,0.47392,0.54275
3.283,0.47397,0.54268,0.47397,0.54268
3.284,0.47402,0.54261,0.47402,0.54261
3.285,0.47407,0.54254,0.47407,0.54254
3.286,0.47412,0.54248,0.47412,0.54248
3.287,0.47417,0.54241,0.47417,0.54241
3.288,0.47422,0.54234,0.47422,0.54234
3.289,0.47427,0.54227,0.47427,0.54227
3.29,0.47431,0.54221,0.47431,0.54221
3.291,0.47436,0.54214,0.47436,0.54214
3.292,0.47441,0.54207,0.47441,0.54207
3.293,0.47446,0.54201,0.47446,0.54201
3.294,0.47451,0.54194,0.47451,0.54194
3.295,0.47456,0.54187,0.47456,0.54187
3.296,0.4746,0.54181,0.4746,0.54181
3.297,0.47465,0.54174,0.47465,0.54174
3.298,0.4747,0.54167,0.4747,0.54167
3.299,0.47475,0.54161,0.47475,0.54161
3.3,0.47479,0.54154,0.47479,0.54154
3.301,0.47484,0.54148,0.47484,0.54148
3.302,0.47489,0.54141,0.47489,0.54141
3.303,0.47494,0.54134,0.47494,0.54134
3.304,0.47498,0.54128,0.47498,0.54128
3.305,0.47503,0.54121,0.47503,0.54121
3.306,0.47508,0.54115,0.47508,0.54115
3.307,0.47513,0.54108,0.47513,0.54108
3.308,0.47517,0.54102,0.47517,0.54102
3.309,0.47522,0.54095,0.47522,0.54095
3.31,0.47527,0.54089,0.47527,0.54089
3.311,0.47531,0.54082,0.47531,0.54082
3.312,0.47536,0.54076,0.47536,0.54076
3.313,0.47541,0.54069,0.47541,0.54069
3.314,0.47545,0.54063,0.47545,0.54063
3.315,0.4755,0.54057,0.4755,0.54057
3.316,0.47554,0.5405,0.47554,0.5405
3.317,0.47559,0.54044,0.47559,0.54044
3.318,0.47564,0.54037,0.47564,0.54037
3.319,0.47568,0.54031,0.47568,0.54031
3.32,0.47573,0.54025,0.47573,0.54025
3.321,0.47577,0.54018,0.47577,0.54018
3.322,0.47582,0.54012,0.47582,0.54012
3.323,0.47586,0.54005,0.47586,0.54005
3.324,0.47591,0.53999,0.47591,0.53999
3.325,0.47596,0.53993,0.47596,0.53993
3.326,0.476,0.53986,0.476,0.53986
3.327,0.47605,0.5398,0.47605,0.5398
3.328,0.47609,0.53974,0.47609,0.53974
3.329,0.47614,0.53968,0.47614,0.53968
3.33,0.47618,0.53961,0.47618,0.53961
3.331,0.47623,0.53955,0.47623,0.53955
3.332,0.47627,0.53949,0.47627,0.53949
3.333,0.47632,0.53943,0.47632,0.53943
3.334,0.47636,0.53936,0.47636,0.53936
3.335,0.4764,0.5393,0.4764,0.5393
3.336,0.47645,0.53924,0.47645,0.53924
3.337,0.47649,0.53918,0.47649,0.53918
3.338,0.47654,0.53912,0.47654,0.53912
3.339,0.47658,0.53905,0.47658,0.53905
3.34,0.47663,0.53899,0.47663,0.53899
3.341,0.47667,0.53893,0.47667,0.53893
3.342,0.47671,0.53887,0.47671,0.53887
3.343,0.47676,0.53881,0.47676,0.53881
3.344,0.4768,0.53875,0.4768,0.53875
3.345,0.47684,0.53868,0.47684,0.53868
3.346,0.47689,0.53862,0.47689,0.53862
3.347,0.47693,0.53856,0.47693,0.53856
3.348,0.47698,0.5385,0.47698,0.5385
3.349,0.47702,0.53844,0.47702,0.53844
3.35,0.47706,0.53838,0.47706,0.53838
3.351,0.4771,0.53832,0.4771,0.53832
3.352,0.47715,0.53826,0.47715,0.53826
3.353,0.47719,0.5382,0.47719,0.5382
3.354,0.47723,0.53814,0.47723,0.53814
3.355,0.47728,0.53808,0.47728,0.53808
3.356,0.47732,0.53802,0.47732,0.53802
3.357,0.47736,0.53796,0.47736,0.53796
3.358,0.4774,0.5379,0.4774,0.5379
3.359,0.47745,0.53784,0.47745,0.53784
3.36,0.47749,0.53778,0.47749,0.53778
3.361,0.47753,0.53772,0.47753,0.53772
3.362,0.47757,0.53766,0.47757,0.53766
3.363,0.47762,0.5376,0.47762,0.5376
3.364,0.47766,0.53754,0.47766,0.53754
3.365,0.4777,0.53748,0.4777,0.53748
3.366,0.47774,0.53742,0.47774,0.53742
3.367,0.47778,0.53736,0.47778,0.53736
3.368,0.47783,0.5373,0.47783,0.5373
3.369,0.47787,0.53725,0.47787,0.53725
3.37,0.47791,0.53719,0.47791,0.53719
3.371,0.47795,0.53713,0.47795,0.53713
3.372,0.47799,0.53707,0.47799,0.53707
3.373,0.47803,0.53701,0.47803,0.53701
3.374,0.47808,0.53695,0.47808,0.53695
3.375,0.47812,0.53689,0.47812,0.53689
3.376,0.47816,0.53684,0.47816,0.53684
3.377,0.4782,0.53678,0.4782,0.53678
3.378,0.47824,0.53672,0.47824,0.53672
3.379,0.47828,0.53666,0.47828,0.53666
3.38,0.47832,0.5366,0.47832,0.5366
3.381,0.47836,0.53655,0.47836,0.53655
3.382,0.4784,0.53649,0.4784,0.53649
3.383,0.47845,0.53643,0.47845,0.53643
3.384,0.47849,0.53637,0.47849,0.53637
3.385,0.47853,0.53632,0.47853,0.53632
3.386,0.47857,0.53626,0.47857,0.53626
3.387,0.47861,0.5362,0.47861,0.5362
3.388,0.47865,0.53615,0.47865,0.53615
3.389,0.47869,0.53609,0.47869,0.53609
3.39,0.47873,0.53603,0.47873,0.53603
3.391,0.47877,0.53597,0.47877,0.53597
3.392,0.47881,0.53592,0.47881,0.53592
3.393,0.47885,0.53586,0.47885,0.53586
3.394,0.47889,0.5358,0.47889,0.5358
3.395,0.47893,0.53575,0.47893,0.53575
3.396,0.47897,0.53569,0.47897,0.53569
3.397,0.47901,0.53564,0.47901,0.53564
3.398,0.47905,0.53558,0.47905,0.53558
3.399,0.47909,0.53552,0.47909,0.53552
3.4,0.47913,0.53547,0.47913,0.53547
3.401,0.47917,0.53541,0.47917,0.53541
3.402,0.47921,0.53536,0.47921,0.53536
3.403,0.47925,0.5353,0.47925,0.5353
3.404,0.47929,0.53524,0.47929,0.53524
3.405,0.47932,0.53519,0.47932,0.53519
3.406,0.47936,0.53513,0.47936,0.53513
3.407,0.4794,0.53508,0.4794,0.53508
3.408,0.47944,0.53502,0.47944,0.53502
3.409,0.47948,0.53497,0.47948,0.53497
3.41,0.47952,0.53491,0.47952,0.53491
3.411,0.47956,0.53486,0.47956,0.53486
3.412,0.4796,0.5348,0.4796,0.5348
3.413,0.47964,0.53475,0.47964,0.53475
3.414,0.47967,0.53469,0.47967,0.53469
3.415,0.47971,0.53464,0.47971,0.53464
3.416,0.47975,0.53458,0.47975,0.53458
3.417,0.47979,0.53453,0.47979,0.53453
3.418,0.47983,0.53447,0.47983,0.53447
3.419,0.47987,0.53442,0.47987,0.53442
3.42,0.47991,0.53436,0.47991,0.53436
3.421,0.47994,0.53431,0.47994,0.53431
3.422,0.47998,0.53425,0.47998,0.53425
3.423,0.48002,0.5342,0.48002,0.5342
3.424,0.48006,0.53415,0.48006,0.53415
3.425,0.4801,0.53409,0.4801,0.53409
3.426,0.48013,0.53404,0.48013,0.53404
3.427,0.48017,0.53398,0.48017,0.53398
3.428,0.48021,0.53393,0.48021,0.53393
3.429,0.48025,0.53388,0.48025,0.53388
3.43,0.48028,0.53382,0.48028,0.53382
3.431,0.48032,0.53377,0.48032,0.53377
3.432,0.48036,0.53372,0.48036,0.53372
3.433,0.4804,0.53366,0.4804,0.53366
3.434,0.48043,0.53361,0.48043,0.53361
3.435,0.48047,0.53356,0.48047,0.53356
3.436,0.48051,0.5335,0.48051,0.5335
3.437,0.48055,0.53345,0.48055,0.53345
3.438,0.48058,0.5334,0.48058,0.5334
3.439,0.48062,0.53334,0.48062,0.53334
3.44,0.48066,0.53329,0.48066,0.53329
3.441,0.48069,0.53324,0.48069,0.53324
3.442,0.48073,0.53319,0.48073,0.53319
3.443,0.48077,0.53313,0.48077,0.53313
3.444,0.4808,0.53308,0.4808,0.53308
3.445,0.48084,0.53303,0.48084,0.53303
3.446,0.48088,0.53298,0.48088,0.53298
3.447,0.48091,0.53292,0.48091,0.53292
3.448,0.48095,0.53287,0.48095,0.53287
3.449,0.48099,0.53282,0.48099,0.53282
3.45,0.48102,0.53277,0.48102,0.53277
3.451,0.48106,0.53272,0.48106,0.53272
3.452,0.48109,0.53267,0.48109,0.53267
3.453,0.48113,0.53261,0.48113,0.53261
3.454,0.48117,0.53256,0.48117,0.53256
3.455,0.4812,0.53251,0.4812,0.53251
3.456,0.48124,0.53246,0.48124,0.53246
3.457,0.48127,0.53241,0.48127,0.53241
3.458,0.48131,0.53236,0.48131,0.53236
3.459,0.48135,0.53231,0.48135,0.53231
3.46,0.48138,0.53225,0.48138,0.53225
3.461,0.48142,0.5322,0.48142,0.5322
3.462,0.48145,0.53215,0.48145,0.53215
3.463,0.48149,0.5321,0.48149,0.5321
3.464,0.48152,0.53205,0.48152,0.53205
3.465,0.48156,0.532,0.48156,0.532
3.466,0.48159,0.53195,0.48159,0.53195
3.467,0.48163,0.5319,0.48163,0.5319
3.468,0.48166,0.53185,0.48166,0.53185
3.469,0.4817,0.5318,0.4817,0.5318
3.47,0.48173,0.53175,0.48173,0.53175
3.471,0.48177,0.5317,0.48177,0.5317
3.472,0.4818,0.53165,0.4818,0.53165
3.473,0.48184,0.5316,0.48184,0.5316
3.474,0.48187,0.53155,0.48187,0.53155
3.475,0.48191,0.5315,0.48191,0.5315
3.476,0.48194,0.53145,0.48194,0.53145
3.477,0.48198,0.5314,0.48198,0.5314
3.478,0.48201,0.53135,0.48201,0.53135
3.479,0.48205,0.5313,0.48205,0.5313
3.48,0.48208,0.53125,0.48208,0.53125
3.481,0.48211,0.5312,0.48211,0.5312
3.482,0.48215,0.53115,0.48215,0.53115
3.483,0.48218,0.5311,0.48218,0.5311
3.484,0.48222,0.53105,0.48222,0.53105
3.485,0.48225,0.531,0.48225,0.531
3.486,0.48229,0.53095,0.48229,0.53095
3.487,0.48232,0.53091,0.48232,0.53091
3.488,0.48235,0.53086,0.48235,0.53086
3.489,0.48239,0.53081,0.48239,0.53081
3.49,0.48242,0.53076,0.48242,0.53076
3.491,0.48245,0.53071,0.48245,0.53071
3.492,0.48249,0.53066,0.48249,0.53066
3.493,0.48252,0.53061,0.48252,0.53061
3.494,0.48255,0.53056,0.48255,0.53056
3.495,0.48259,0.53052,0.48259,0.53052
3.496,0.48262,0.53047,0.48262,0.53047
3.497,0.48265,0.53042,0.48265,0.53042
3.498,0.48269,0.53037,0.48269,0.53037
3.499,0.48272,0.53032,0.48272,0.53032
3.5,0.48275,0.53028,0.48275,0.53028
3.501,0.48279,0.53023,0.48279,0.53023
3.502,0.48282,0.53018,0.48282,0.53018
3.503,0.48285,0.53013,0.48285,0.53013
3.504,0.48289,0.53009,0.48289,0.53009
3.505,0.48292,0.53004,0.48292,0.53004
3.506,0.48295,0.52999,0.48295,0.52999
3.507,0.48298,0.52994,0.48298,0.52994
3.508,0.48302,0.5299,0.48302,0.5299
3.509,0.48305,0.52985,0.48305,0.52985
3.51,0.48308,0.5298,0.48308,0.5298
3.511,0.48311,0.52975,0.48311,0.52975
3.512,0.48315,0.52971,0.48315,0.52971
3.513,0.48318,0.52966,0.48318,0.52966
3.514,0.48321,0.52961,0.48321,0.52961
3.515,0.48324,0.52957,0.48324,0.52957
3.516,0.48327,0.52952,0.48327,0.52952
3.517,0.48331,0.52947,0.48331,0.52947
3.518,0.48334,0.52943,0.48334,0.52943
3.519,0.48337,0.52938,0.48337,0.52938
3.52,0.4834,0.52934,0.4834,0.52934
3.521,0.48343,0.52929,0.48343,0.52929
3.522,0.48347,0.52924,0.48347,0.52924
3.523,0.4835,0.5292,0.4835,0.5292
3.524,0.48353,0.52915,0.48353,0.52915
3.525,0.48356,0.5291,0.48356,0.5291
3.526,0.48359,0.52906,0.48359,0.52906
3.527,0.48362,0.52901,0.48362,0.52901
3.528,0.48365,0.52897,0.48365,0.52897
3.529,0.48369,0.52892,0.48369,0.52892
3.53,0.48372,0.52888,0.48372,0.52888
3.531,0.48375,0.52883,0.48375,0.52883
3.532,0.48378,0.52879,0.48378,0.52879
3.533,0.48381,0.52874,0.48381,0.52874
3.534,0.48384,0.52869,0.48384,0.52869
3.535,0.48387,0.52865,0.48387,0.52865
3.536,0.4839,0.5286,0.4839,0.5286
3.537,0.48393,0.52856,0.48393,0.52856
3.538,0.48396,0.52851,0.48396,0.52851
3.539,0.484,0.52847,0.484,0.52847
3.54,0.48403,0.52842,0.48403,0.52842
3.541,0.48406,0.52838,0.48406,0.52838
3.542,0.48409,0.52834,0.48409,0.52834
3.543,0.48412,0.52829,0.48412,0.52829
3.544,0.48415,0.52825,0.48415,0.52825
3.545,0.48418,0.5282,0.48418,0.5282
3.546,0.48421,0.52816,0.48421,0.52816
3.547,0.48424,0.52811,0.48424,0.52811
3.548,0.48427,0.52807,0.48427,0.52807
3.549,0.4843,0.52802,0.4843,0.52802
3.55,0.48433,0.52798,0.48433,0.52798
3.551,0.48436,0.52794,0.48436,0.52794
3.552,0.48439,0.52789,0.48439,0.52789
3.553,0.48442,0.52785,0.48442,0.52785
3.554,0.48445,0.52781,0.48445,0.52781
3.555,0.48448,0.52776,0.48448,0.52776
3.556,0.48451,0.52772,0.48451,0.52772
3.557,0.48454,0.52767,0.48454,0.52767
3.558,0.48457,0.52763,0.48457,0.52763
3.559,0.4846,0.52759,0.4846,0.52759
3.56,0.48463,0.52754,0.48463,0.52754
3.561,0.48466,0.5275,0.48466,0.5275
3.562,0.48469,0.52746,0.48469,0.52746
3.563,0.48471,0.52741,0.48471,0.52741
3.564,0.48474,0.52737,0.48474,0.52737
3.565,0.48477,0.52733,0.48477,0.52733
3.566,0.4848,0.52729,0.4848,0.52729
3.567,0.48483,0.52724,0.48483,0.52724
3.568,0.48486,0.5272,0.48486,0.5272
3.569,0.48489,0.52716,0.48489,0.52716
3.57,0.48492,0.52712,0.48492,0.52712
3.571,0.48495,0.52707,0.48495,0.52707
3.572,0.48498,0.52703,0.48498,0.52703
3.573,0.485,0.52699,0.485,0.52699
3.574,0.48503,0.52695,0.48503,0.52695
3.575,0.48506,0.5269,0.48506,0.5269
3.576,0.48509,0.52686,0.48509,0.52686
3.577,0.48512,0.52682,0.48512,0.52682
3.578,0.48515,0.52678,0.48515,0.52678
3.579,0.48518,0.52673,0.48518,0.52673
3.58,0.4852,0.52669,0.4852,0.52669
3.581,0.48523,0.52665,0.48523,0.52665
3.582,0.48526,0.52661,0.48526,0.52661
3.583,0.48529,0.52657,0.48529,0.52657
3.584,0.48532,0.52653,0.48532,0.52653
3.585,0.48534,0.52648,0.48534,0.52648
3.586,0.48537,0.52644,0.48537,0.52644
3.587,0.4854,0.5264,0.4854,0.5264
3.588,0.48543,0.52636,0.48543,0.52636
3.589,0.48546,0.52632,0.48546,0.52632
3.59,0.48548,0.52628,0.48548,0.52628
3.591,0.48551,0.52624,0.48551,0.52624
3.592,0.48554,0.5262,0.48554,0.5262
3.593,0.48557,0.52615,0.48557,0.52615
3.594,0.48559,0.52611,0.48559,0.52611
3.595,0.48562,0.52607,0.48562,0.52607
3.596,0.48565,0.52603,0.48565,0.52603
3.597,0.48568,0.52599,0.48568,0.52599
3.598,0.4857,0.52595,0.4857,0.52595
3.599,0.48573,0.52591,0.48573,0.52591
3.6,0.48576,0.52587,0.48576,0.52587
3.601,0.48579,0.52583,0.48579,0.52583
3.602,0.48581,0.52579,0.48581,0.52579
3.603,0.48584,0.52575,0.48584,0.52575
3.604,0.48587,0.52571,0.48587,0.52571
3.605,0.48589,0.52567,0.48589,0.52567
3.606,0.48592,0.52563,0.48592,0.52563
3.607,0.48595,0.52559,0.48595,0.52559
3.608,0.48597,0.52555,0.48597,0.52555
3.609,0.486,0.52551,0.486,0.52551
3.61,0.48603,0.52547,0.48603,0.52547
3.611,0.48605,0.52543,0.48605,0.52543
3.612,0.48608,0.52539,0.48608,0.52539
3.613,0.48611,0.52535,0.48611,0.52535
3.614,0.48613,0.52531,0.48613,0.52531
3.615,0.48616,0.52527,0.48616,0.52527
3.616,0.48619,0.52523,0.48619,0.52523
3.617,0.48621,0.52519,0.48621,0.52519
3.618,0.48624,0.52515,0.48624,0.52515
3.619,0.48627,0.52511,0.48627,0.52511
3.62,0.48629,0.52507,0.48629,0.52507
3.621,0.48632,0.52504,0.48632,0.52504
3.622,0.48634,0.525,0.48634,0.525
3.623,0.48637,0.52496,0.48637,0.52496
3.624,0.4864,0.52492,0.4864,0.52492
3.625,0.48642,0.52488,0.48642,0.52488
3.626,0.48645,0.52484,0.48645,0.52484
3.627,0.48647,0.5248,0.48647,0.5248
3.628,0.4865,0.52476,0.4865,0.52476
3.629,0.48652,0.52473,0.48652,0.52473
3.63,0.48655,0.52469,0.48655,0.52469
3.631,0.48658,0.52465,0.48658,0.52465
3.632,0.4866,0.52461,0.4866,0.52461
3.633,0.48663,0.52457,0.48663,0.52457
3.634,0.48665,0.52453,0.48665,0.52453
3.635,0.48668,0.5245,0.48668,0.5245
3.636,0.4867,0.52446,0.4867,0.52446
3.637,0.48673,0.52442,0.48673,0.52442
3.638,0.48675,0.52438,0.48675,0.52438
3.639,0.48678,0.52434,0.48678,0.52434
3.64,0.4868,0.52431,0.4868,0.52431
3.641,0.48683,0.52427,0.48683,0.52427
3.642,0.48685,0.52423,0.48685,0.52423
3.643,0.48688,0.52419,0.48688,0.52419
3.644,0.4869,0.52416,0.4869,0.52416
3.645,0.48693,0.52412,0.48693,0.52412
3.646,0.48695,0.52408,0.48695,0.52408
3.647,0.48698,0.52404,0.48698,0.52404
3.648,0.487,0.52401,0.487,0.52401
3.649,0.48703,0.52397,0.48703,0.52397
3.65,0.48705,0.52393,0.48705,0.52393
3.651,0.48708,0.5239,0.48708,0.5239
3.652,0.4871,0.52386,0.4871,0.52386
3.653,0.48712,0.52382,0.48712,0.52382
3.654,0.48715,0.52378,0.48715,0.52378
3.655,0.48717,0.52375,0.48717,0.52375
3.656,0.4872,0.52371,0.4872,0.52371
3.657,0.48722,0.52367,0.48722,0.52367
3.658,0.48725,0.52364,0.48725,0.52364
3.659,0.48727,0.5236,0.48727,0.5236
3.66,0.48729,0.52356,0.48729,0.52356
3.661,0.48732,0.52353,0.48732,0.52353
3.662,0.48734,0.52349,0.48734,0.52349
3.663,0.48737,0.52346,0.48737,0.52346
3.664,0.48739,0.52342,0.48739,0.52342
3.665,0.48741,0.52338,0.48741,0.52338
3.666,0.48744,0.52335,0.48744,0.52335
3.667,0.48746,0.52331,0.48746,0.52331
3.668,0.48749,0.52327,0.48749,0.52327
3.669,0.48751,0.52324,0.48751,0.52324
3.67,0.48753,0.5232,0.48753,0.5232
3.671,0.48756,0.52317,0.48756,0.52317
3.672,0.48758,0.52313,0.48758,0.52313
3.673,0.4876,0.5231,0.4876,0.5231
3.674,0.48763,0.52306,0.48763,0.52306
3.675,0.48765,0.52302,0.48765,0.52302
3.676,0.48767,0.52299,0.48767,0.52299
3.677,0.4877,0.52295,0.4877,0.52295
3.678,0.48772,0.52292,0.48772,0.52292
3.679,0.48774,0.52288,0.48774,0.52288
3.68,0.48777,0.52285,0.48777,0.52285
3.681,0.48779,0.52281,0.48779,0.52281
3.682,0.48781,0.52278,0.48781,0.52278
3.683,0.48784,0.52274,0.48784,0.52274
3.684,0.48786,0.52271,0.48786,0.52271
3.685,0.48788,0.52267,0.48788,0.52267
3.686,0.4879,0.52264,0.4879,0.52264
3.687,0.48793,0.5226,0.48793,0.5226
3.688,0.48795,0.52257,0.48795,0.52257
3.689,0.48797,0.52253,0.48797,0.52253
3.69,0.48799,0.5225,0.48799,0.5225
3.691,0.48802,0.52246,0.48802,0.52246
3.692,0.48804,0.52243,0.48804,0.52243
3.693,0.48806,0.52239,0.48806,0.52239
3.694,0.48808,0.52236,0.48808,0.52236
3.695,0.48811,0.52233,0.48811,0.52233
3.696,0.48813,0.52229,0.48813,0.52229
3.697,0.48815,0.52226,0.48815,0.52226
3.698,0.48817,0.52222,0.48817,0.52222
3.699,0.4882,0.52219,0.4882,0.52219
3.7,0.48822,0.52215,0.48822,0.52215
3.701,0.48824,0.52212,0.48824,0.52212
3.702,0.48826,0.52209,0.48826,0.52209
3.703,0.48828,0.52205,0.48828,0.52205
3.704,0.48831,0.52202,0.48831,0.52202
3.705,0.48833,0.52199,0.48833,0.52199
3.706,0.48835,0.52195,0.48835,0.52195
3.707,0.48837,0.52192,0.48837,0.52192
3.708,0.48839,0.52188,0.48839,0.52188
3.709,0.48842,0.52185,0.48842,0.52185
3.71,0.48844,0.52182,0.48844,0.52182
3.711,0.48846,0.52178,0.48846,0.52178
3.712,0.48848,0.52175,0.48848,0.52175
